0,Total,2020,2020,85413,6122,"Bristol County, RI",05000US44001,bristol-county-ri
0,Total,2020,2020,75857,2022,"Kent County, RI",05000US44003,kent-county-ri
0,Total,2020,2020,84282,2629,"Newport County, RI",05000US44005,newport-county-ri
0,Total,2020,2020,62323,1270,"Providence County, RI",05000US44007,providence-county-ri
0,Total,2020,2020,86970,3651,"Washington County, RI",05000US44009,washington-county-ri
1,White,2020,2020,85359,6432,"Bristol County, RI",05000US44001,bristol-county-ri
1,White,2020,2020,75408,2311,"Kent County, RI",05000US44003,kent-county-ri
1,White,2020,2020,87407,3706,"Newport County, RI",05000US44005,newport-county-ri
1,White,2020,2020,67639,1255,"Providence County, RI",05000US44007,providence-county-ri
1,White,2020,2020,88147,3942,"Washington County, RI",05000US44009,washington-county-ri
2,Black,2020,2020,72443,54768,"Bristol County, RI",05000US44001,bristol-county-ri
